weather_id,airport_code,date,condition,severity,visibility_km,wind_speed_kmh
W000035,TPE,2026-10-01,CLEAR,LOW,7.8,56
W000036,PEK,2026-10-01,STORM,MEDIUM,6.6,41
W000037,PVG,2026-10-01,RAIN,MEDIUM,5.6,61
W000038,HND,2026-10-01,CLEAR,LOW,9.5,9
W000039,AKL,2026-10-01,CLEAR,LOW,19.0,19
W000040,PER,2026-10-01,CLOUDY,MEDIUM,7.0,14
W000041,DXB,2026-10-02,CLOUDY,MEDIUM,12.1,5
W000042,LHR,2026-10-02,CLOUDY,MEDIUM,9.4,18
W000043,JFK,2026-10-02,CLEAR,LOW,6.2,63
W000044,BOM,2026-10-02,HIGH_WINDS,HIGH,10.1,26
W000045,DEL,2026-10-02,FOG,MEDIUM,6.9,15
W000046,SIN,2026-10-02,RAIN,MEDIUM,5.0,14
W000047,DOH,2026-10-02,CLEAR,LOW,1.1,75
W000048,FRA,2026-10-02,HIGH_WINDS,MEDIUM,7.6,6
W000049,CDG,2026-10-02,RAIN,MEDIUM,2.6,12
W000050,AMS,2026-10-02,CLEAR,LOW,19.3,38
W000051,IST,2026-10-02,CLEAR,LOW,13.4,8
W000052,HKG,2026-10-02,SNOW,HIGH,3.1,6
W000053,SYD,2026-10-02,RAIN,MEDIUM,15.8,37
W000054,MEL,2026-10-02,CLEAR,LOW,3.6,20
W000055,BKK,2026-10-02,HIGH_WINDS,HIGH,10.3,54
W000056,NRT,2026-10-02,CLEAR,LOW,3.8,41
W000057,ICN,2026-10-02,CLEAR,LOW,3.4,47
W000058,ORD,2026-10-02,CLEAR,LOW,12.3,80
W000059,LAX,2026-10-02,CLEAR,LOW,3.7,70
W000060,SFO,2026-10-02,CLEAR,LOW,5.9,43
W000061,SEA,2026-10-02,CLOUDY,MEDIUM,1.5,49
W000062,BOS,2026-10-02,RAIN,MEDIUM,1.7,33
W000063,ATL,2026-10-02,CLEAR,LOW,19.0,57
W000064,DFW,2026-10-02,CLEAR,LOW,9.3,30
W000065,YYZ,2026-10-02,CLEAR,LOW,18.5,43
W000066,YVR,2026-10-02,CLOUDY,MEDIUM,18.3,57
W000067,GRU,2026-10-02,CLEAR,LOW,7.7,57
W000068,MEX,2026-10-02,FOG,HIGH,1.3,15
W000069,JNB,2026-10-02,CLEAR,LOW,11.0,42
W000070,CAI,2026-10-02,FOG,MEDIUM,19.8,60
W000071,RUH,2026-10-02,CLEAR,LOW,10.2,8
W000072,AUH,2026-10-02,CLOUDY,MEDIUM,2.1,54
W000073,KUL,2026-10-02,FOG,MEDIUM,17.1,42
W000074,CGK,2026-10-02,SNOW,HIGH,10.1,57
W000075,TPE,2026-10-02,RAIN,MEDIUM,1.1,57
W000076,PEK,2026-10-02,HIGH_WINDS,MEDIUM,14.6,62
W000077,PVG,2026-10-02,FOG,MEDIUM,17.1,54
W000078,HND,2026-10-02,CLEAR,LOW,11.3,45
W000079,AKL,2026-10-02,CLEAR,LOW,12.2,52
W000080,PER,2026-10-02,CLEAR,LOW,13.6,42
W000081,DXB,2026-10-03,CLEAR,LOW,6.7,38
W000082,LHR,2026-10-03,HIGH_WINDS,MEDIUM,9.7,76
W000083,JFK,2026-10-03,CLEAR,LOW,1.2,5
W000084,BOM,2026-10-03,HIGH_WINDS,MEDIUM,11.0,71
W000085,DEL,2026-10-03,STORM,MEDIUM,2.1,24
W000086,SIN,2026-10-03,CLEAR,LOW,10.8,42
W000087,DOH,2026-10-03,STORM,HIGH,12.9,49
W000088,FRA,2026-10-03,SNOW,MEDIUM,19.7,61
W000089,CDG,2026-10-03,CLEAR,LOW,4.7,78
W000090,AMS,2026-10-03,SNOW,MEDIUM,16.2,34
W000091,IST,2026-10-03,SNOW,MEDIUM,19.1,27
W000092,HKG,2026-10-03,HIGH_WINDS,MEDIUM,10.6,31
W000093,SYD,2026-10-03,CLOUDY,MEDIUM,1.6,45
W000094,MEL,2026-10-03,HIGH_WINDS,HIGH,2.4,57
W000095,BKK,2026-10-03,FOG,MEDIUM,5.2,65
W000096,NRT,2026-10-03,CLEAR,LOW,1.5,54
W000097,ICN,2026-10-03,SNOW,HIGH,2.8,66
W000098,ORD,2026-10-03,CLOUDY,MEDIUM,1.6,17
W000099,LAX,2026-10-03,RAIN,MEDIUM,18.9,10
W000100,SFO,2026-10-03,CLEAR,LOW,14.8,23
W000101,SEA,2026-10-03,RAIN,MEDIUM,5.4,37
W000102,BOS,2026-10-03,RAIN,MEDIUM,6.5,43
W000103,ATL,2026-10-03,CLOUDY,MEDIUM,11.7,44
W000104,DFW,2026-10-03,CLOUDY,MEDIUM,4.6,50
W000105,YYZ,2026-10-03,FOG,HIGH,10.7,75
W000106,YVR,2026-10-03,FOG,MEDIUM,16.8,41
W000107,GRU,2026-10-03,SNOW,MEDIUM,17.0,58
W000108,MEX,2026-10-03,CLEAR,LOW,19.0,43
W000109,JNB,2026-10-03,CLEAR,LOW,3.5,24
W000110,CAI,2026-10-03,CLOUDY,MEDIUM,9.3,44
W000111,RUH,2026-10-03,STORM,MEDIUM,2.9,37
W000112,AUH,2026-10-03,CLEAR,LOW,15.0,63
W000113,KUL,2026-10-03,FOG,MEDIUM,16.6,28
W000114,CGK,2026-10-03,CLEAR,LOW,17.2,49
W000115,TPE,2026-10-03,CLOUDY,MEDIUM,8.6,45
W000116,PEK,2026-10-03,CLEAR,LOW,15.0,59
W000117,PVG,2026-10-03,RAIN,MEDIUM,16.7,55
W000118,HND,2026-10-03,CLEAR,LOW,6.8,62
W000119,AKL,2026-10-03,CLEAR,LOW,4.5,9
W000120,PER,2026-10-03,CLEAR,LOW,3.4,31
W000121,DXB,2026-10-04,CLOUDY,MEDIUM,12.7,31
W000122,LHR,2026-10-04,CLOUDY,MEDIUM,17.1,30
W000123,JFK,2026-10-04,CLEAR,LOW,3.6,45
W000124,BOM,2026-10-04,CLEAR,LOW,7.2,60
W000125,DEL,2026-10-04,RAIN,MEDIUM,3.9,66
W000126,SIN,2026-10-04,STORM,HIGH,19.0,5
W000127,DOH,2026-10-04,HIGH_WINDS,MEDIUM,13.1,31
W000128,FRA,2026-10-04,CLEAR,LOW,18.9,7
W000129,CDG,2026-10-04,RAIN,MEDIUM,18.5,30
W000130,AMS,2026-10-04,CLEAR,LOW,6.7,73
W000131,IST,2026-10-04,CLOUDY,MEDIUM,15.3,18
W000132,HKG,2026-10-04,CLEAR,LOW,11.3,50
W000133,SYD,2026-10-04,STORM,MEDIUM,15.8,8
W000134,MEL,2026-10-04,CLEAR,LOW,9.2,7
W000135,BKK,2026-10-04,HIGH_WINDS,MEDIUM,4.9,33
W000136,NRT,2026-10-04,FOG,MEDIUM,6.1,37
W000137,ICN,2026-10-04,CLEAR,LOW,4.8,52
W000138,ORD,2026-10-04,FOG,MEDIUM,14.6,17
W000139,LAX,2026-10-04,CLEAR,LOW,17.7,56
W000140,SFO,2026-10-04,STORM,HIGH,10.6,26
W000141,SEA,2026-10-04,RAIN,MEDIUM,6.5,23
W000142,BOS,2026-10-04,STORM,HIGH,19.3,49
W000143,ATL,2026-10-04,CLOUDY,MEDIUM,2.4,42
W000144,DFW,2026-10-04,RAIN,MEDIUM,2.1,6
W000145,YYZ,2026-10-04,STORM,MEDIUM,5.3,42
W000146,YVR,2026-10-04,CLOUDY,MEDIUM,11.8,56
W000147,GRU,2026-10-04,CLOUDY,MEDIUM,5.0,62
W000148,MEX,2026-10-04,STORM,MEDIUM,17.9,23
W000149,JNB,2026-10-04,RAIN,MEDIUM,12.0,43
W000150,CAI,2026-10-04,CLEAR,LOW,17.7,8
W000151,RUH,2026-10-04,CLOUDY,MEDIUM,8.9,43
W000152,AUH,2026-10-04,CLOUDY,MEDIUM,19.3,7
W000153,KUL,2026-10-04,RAIN,MEDIUM,2.3,7
W000154,CGK,2026-10-04,HIGH_WINDS,HIGH,5.3,70
W000155,TPE,2026-10-04,SNOW,HIGH,1.6,59
W000156,PEK,2026-10-04,STORM,MEDIUM,8.1,72
W000157,PVG,2026-10-04,CLEAR,LOW,6.8,55
W000158,HND,2026-10-04,CLOUDY,MEDIUM,14.0,23
W000159,AKL,2026-10-04,CLOUDY,MEDIUM,16.6,62
W000160,PER,2026-10-04,RAIN,MEDIUM,19.5,35
W000161,DXB,2026-10-05,CLEAR,LOW,19.3,69
W000162,LHR,2026-10-05,CLEAR,LOW,18.8,64
W000163,JFK,2026-10-05,CLOUDY,MEDIUM,9.6,71
W000164,BOM,2026-10-05,CLOUDY,MEDIUM,7.2,6
W000165,DEL,2026-10-05,FOG,HIGH,13.6,21
W000166,SIN,2026-10-05,CLOUDY,MEDIUM,5.6,16
W000167,DOH,2026-10-05,FOG,HIGH,17.1,74
W000168,FRA,2026-10-05,RAIN,MEDIUM,5.7,50
W000169,CDG,2026-10-05,CLEAR,LOW,8.3,13
W000170,AMS,2026-10-05,RAIN,MEDIUM,15.9,69
W000171,IST,2026-10-05,SNOW,MEDIUM,17.0,39
W000172,HKG,2026-10-05,HIGH_WINDS,MEDIUM,14.7,23
W000173,SYD,2026-10-05,STORM,HIGH,1.7,9
W000174,MEL,2026-10-05,STORM,MEDIUM,3.2,70
W000175,BKK,2026-10-05,RAIN,MEDIUM,11.0,58
W000176,NRT,2026-10-05,STORM,MEDIUM,14.6,41
W000177,ICN,2026-10-05,HIGH_WINDS,MEDIUM,18.8,12
W000178,ORD,2026-10-05,FOG,HIGH,19.9,70
W000179,LAX,2026-10-05,RAIN,MEDIUM,19.2,9
W000180,SFO,2026-10-05,CLEAR,LOW,6.6,15
W000181,SEA,2026-10-05,CLOUDY,MEDIUM,9.2,46
W000182,BOS,2026-10-05,CLEAR,LOW,7.7,45
W000183,ATL,2026-10-05,CLOUDY,MEDIUM,16.5,57
W000184,DFW,2026-10-05,CLEAR,LOW,12.3,24
W000185,YYZ,2026-10-05,HIGH_WINDS,MEDIUM,14.5,29
W000186,YVR,2026-10-05,CLOUDY,MEDIUM,2.9,48
W000187,GRU,2026-10-05,STORM,MEDIUM,5.4,53
W000188,MEX,2026-10-05,RAIN,MEDIUM,11.3,12
W000189,JNB,2026-10-05,CLEAR,LOW,15.5,11
W000190,CAI,2026-10-05,CLOUDY,MEDIUM,12.5,31
W000191,RUH,2026-10-05,STORM,MEDIUM,14.9,40
W000192,AUH,2026-10-05,RAIN,MEDIUM,17.8,65
W000193,KUL,2026-10-05,FOG,HIGH,15.4,39
W000194,CGK,2026-10-05,RAIN,MEDIUM,3.6,24
W000195,TPE,2026-10-05,CLEAR,LOW,16.8,34
W000196,PEK,2026-10-05,SNOW,MEDIUM,9.9,72
W000197,PVG,2026-10-05,CLEAR,LOW,8.8,18
W000198,HND,2026-10-05,CLEAR,LOW,11.8,47
W000199,AKL,2026-10-05,CLOUDY,MEDIUM,11.8,70
W000200,PER,2026-10-05,SNOW,MEDIUM,11.8,60
W000201,DXB,2026-10-06,RAIN,MEDIUM,18.7,77
W000202,LHR,2026-10-06,RAIN,MEDIUM,14.6,50
W000203,JFK,2026-10-06,CLEAR,LOW,14.8,28
W000204,BOM,2026-10-06,RAIN,MEDIUM,7.5,42
W000205,DEL,2026-10-06,STORM,HIGH,13.8,57
W000206,SIN,2026-10-06,FOG,MEDIUM,4.7,24
W000207,DOH,2026-10-06,CLEAR,LOW,18.2,24
W000208,FRA,2026-10-06,CLOUDY,MEDIUM,19.8,55
W000209,CDG,2026-10-06,CLOUDY,MEDIUM,16.9,28
W000210,AMS,2026-10-06,CLEAR,LOW,12.9,21
W000211,IST,2026-10-06,FOG,MEDIUM,3.0,59
W000212,HKG,2026-10-06,CLEAR,LOW,17.7,64
W000213,SYD,2026-10-06,HIGH_WINDS,MEDIUM,13.2,65
W000214,MEL,2026-10-06,RAIN,MEDIUM,11.5,19
W000215,BKK,2026-10-06,CLEAR,LOW,16.5,69
W000216,NRT,2026-10-06,CLEAR,LOW,9.9,50
W000217,ICN,2026-10-06,HIGH_WINDS,HIGH,9.4,13
W000218,ORD,2026-10-06,CLEAR,LOW,16.0,77
W000219,LAX,2026-10-06,CLEAR,LOW,19.6,22
W000220,SFO,2026-10-06,STORM,MEDIUM,7.5,34
W000221,SEA,2026-10-06,CLOUDY,MEDIUM,15.2,30
W000222,BOS,2026-10-06,SNOW,MEDIUM,17.4,12
W000223,ATL,2026-10-06,CLEAR,LOW,18.6,26
W000224,DFW,2026-10-06,RAIN,MEDIUM,8.4,56
W000225,YYZ,2026-10-06,CLOUDY,MEDIUM,1.9,40
W000226,YVR,2026-10-06,CLEAR,LOW,4.9,41
W000227,GRU,2026-10-06,HIGH_WINDS,HIGH,18.7,65
W000228,MEX,2026-10-06,HIGH_WINDS,MEDIUM,17.4,35
W000229,JNB,2026-10-06,CLEAR,LOW,19.2,75
W000230,CAI,2026-10-06,FOG,MEDIUM,8.8,31
W000231,RUH,2026-10-06,CLEAR,LOW,5.1,44
W000232,AUH,2026-10-06,CLEAR,LOW,8.4,47
W000233,KUL,2026-10-06,STORM,MEDIUM,11.4,38
W000234,CGK,2026-10-06,CLOUDY,MEDIUM,18.8,57
W000235,TPE,2026-10-06,CLEAR,LOW,19.7,26
W000236,PEK,2026-10-06,CLOUDY,MEDIUM,7.9,60
W000237,PVG,2026-10-06,STORM,HIGH,6.4,71
W000238,HND,2026-10-06,SNOW,HIGH,15.6,60
W000239,AKL,2026-10-06,SNOW,MEDIUM,3.2,17
W000240,PER,2026-10-06,STORM,MEDIUM,12.7,62
W000241,DXB,2026-10-07,HIGH_WINDS,MEDIUM,19.2,37
W000242,LHR,2026-10-07,HIGH_WINDS,HIGH,1.9,45
W000243,JFK,2026-10-07,CLOUDY,MEDIUM,17.3,15
W000244,BOM,2026-10-07,FOG,HIGH,18.8,8
W000245,DEL,2026-10-07,CLEAR,LOW,14.2,46
W000246,SIN,2026-10-07,SNOW,MEDIUM,1.1,59
W000247,DOH,2026-10-07,CLOUDY,MEDIUM,2.4,58
W000248,FRA,2026-10-07,CLOUDY,MEDIUM,18.1,66
W000249,CDG,2026-10-07,CLEAR,LOW,5.1,74
W000250,AMS,2026-10-07,RAIN,MEDIUM,14.3,64
W000251,IST,2026-10-07,CLOUDY,MEDIUM,18.4,34
W000252,HKG,2026-10-07,CLEAR,LOW,2.3,63
W000253,SYD,2026-10-07,CLOUDY,MEDIUM,17.5,19
W000254,MEL,2026-10-07,CLEAR,LOW,5.1,66
W000255,BKK,2026-10-07,STORM,MEDIUM,14.9,22
W000256,NRT,2026-10-07,RAIN,MEDIUM,7.1,35
W000257,ICN,2026-10-07,CLEAR,LOW,3.3,58
W000258,ORD,2026-10-07,CLOUDY,MEDIUM,10.4,79
W000259,LAX,2026-10-07,FOG,HIGH,10.5,33
W000260,SFO,2026-10-07,CLOUDY,MEDIUM,9.3,14
W000261,SEA,2026-10-07,FOG,HIGH,11.9,6
W000262,BOS,2026-10-07,CLOUDY,MEDIUM,1.8,8
W000263,ATL,2026-10-07,CLOUDY,MEDIUM,17.2,48
W000264,DFW,2026-10-07,CLEAR,LOW,16.9,21
W000265,YYZ,2026-10-07,CLEAR,LOW,3.5,20
W000266,YVR,2026-10-07,FOG,MEDIUM,16.2,43
W000267,GRU,2026-10-07,CLEAR,LOW,4.3,36
W000268,MEX,2026-10-07,STORM,MEDIUM,2.1,34
W000269,JNB,2026-10-07,FOG,HIGH,19.3,29
W000270,CAI,2026-10-07,FOG,MEDIUM,9.7,32
W000271,RUH,2026-10-07,CLOUDY,MEDIUM,11.5,26
W000272,AUH,2026-10-07,STORM,MEDIUM,7.7,57
W000273,KUL,2026-10-07,SNOW,MEDIUM,10.2,62
W000274,CGK,2026-10-07,CLEAR,LOW,2.1,34
W000275,TPE,2026-10-07,CLOUDY,MEDIUM,2.0,58
W000276,PEK,2026-10-07,RAIN,MEDIUM,5.3,79
W000277,PVG,2026-10-07,CLEAR,LOW,17.1,33
W000278,HND,2026-10-07,HIGH_WINDS,HIGH,19.3,23
W000279,AKL,2026-10-07,FOG,MEDIUM,12.6,58
W000280,PER,2026-10-07,CLEAR,LOW,2.6,54
