connection_id,passenger_id,first_flight_id,second_flight_id,connection_airport,arrival_time,next_departure_time,connection_minutes
C00057,P01660,FL0188,FL0015,SIN,2026-10-07 03:45:00,2026-10-07 05:00:00,75
C00058,P01191,FL0002,FL0121,FRA,2026-10-06 22:45:00,2026-10-07 02:45:00,240
C00059,P01226,FL0096,FL0026,CDG,2026-10-03 04:30:00,2026-10-03 12:30:00,480
C00060,P00050,FL0182,FL0047,DOH,2026-10-04 07:30:00,2026-10-04 15:15:00,465
C00061,P01106,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00062,P00174,FL0028,FL0174,CDG,2026-10-02 09:30:00,2026-10-02 13:15:00,225
C00063,P00238,FL0188,FL0015,SIN,2026-10-07 03:45:00,2026-10-07 05:00:00,75
C00064,P00290,FL0096,FL0075,CDG,2026-10-03 04:30:00,2026-10-03 06:30:00,120
C00065,P01815,FL0190,FL0012,CDG,2026-10-05 05:15:00,2026-10-05 08:30:00,195
C00066,P00417,FL0159,FL0185,SIN,2026-10-01 14:15:00,2026-10-01 16:15:00,120
C00067,P01246,FL0174,FL0067,DXB,2026-10-02 20:15:00,2026-10-03 02:15:00,360
C00068,P01655,FL0083,FL0114,LHR,2026-10-02 08:30:00,2026-10-02 13:30:00,300
C00069,P00221,FL0031,FL0002,DXB,2026-10-06 08:15:00,2026-10-06 15:45:00,450
C00070,P01676,FL0108,FL0149,LAX,2026-10-04 02:30:00,2026-10-04 04:00:00,90
C00071,P00889,FL0078,FL0088,JFK,2026-10-02 00:15:00,2026-10-02 05:45:00,330
C00072,P00830,FL0154,FL0152,JFK,2026-10-04 00:45:00,2026-10-04 05:00:00,255
C00073,P01938,FL0031,FL0135,DXB,2026-10-06 08:15:00,2026-10-06 09:15:00,60
C00074,P01424,FL0096,FL0075,CDG,2026-10-03 04:30:00,2026-10-03 06:30:00,120
C00075,P01076,FL0028,FL0174,CDG,2026-10-02 09:30:00,2026-10-02 13:15:00,225
C00076,P01912,FL0134,FL0100,SIN,2026-10-02 20:45:00,2026-10-03 01:00:00,255
C00077,P00164,FL0060,FL0132,LHR,2026-10-07 01:30:00,2026-10-07 07:30:00,360
C00078,P00204,FL0085,FL0188,FRA,2026-10-06 14:00:00,2026-10-06 15:45:00,105
C00079,P01625,FL0191,FL0121,FRA,2026-10-06 20:30:00,2026-10-07 02:45:00,375
C00080,P01966,FL0145,FL0116,SIN,2026-10-04 20:15:00,2026-10-04 23:15:00,180
C00081,P00631,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00082,P01302,FL0120,FL0058,LHR,2026-10-01 15:45:00,2026-10-01 18:15:00,150
C00083,P00299,FL0083,FL0114,LHR,2026-10-02 08:30:00,2026-10-02 13:30:00,300
C00084,P00163,FL0108,FL0149,LAX,2026-10-04 02:30:00,2026-10-04 04:00:00,90
C00085,P00317,FL0119,FL0098,CDG,2026-10-07 13:15:00,2026-10-07 17:30:00,255
C00086,P01720,FL0095,FL0191,LHR,2026-10-06 14:45:00,2026-10-06 18:30:00,225
C00087,P00031,FL0193,FL0084,LHR,2026-10-07 00:30:00,2026-10-07 01:30:00,60
C00088,P01230,FL0024,FL0016,JFK,2026-10-06 03:45:00,2026-10-06 09:15:00,330
C00089,P01551,FL0190,FL0012,CDG,2026-10-05 05:15:00,2026-10-05 08:30:00,195
C00090,P01811,FL0144,FL0030,SIN,2026-10-01 19:30:00,2026-10-02 00:00:00,270
C00091,P01574,FL0120,FL0058,LHR,2026-10-01 15:45:00,2026-10-01 18:15:00,150
C00092,P00045,FL0047,FL0113,LHR,2026-10-04 22:15:00,2026-10-05 00:30:00,135
C00093,P01687,FL0096,FL0026,CDG,2026-10-03 04:30:00,2026-10-03 12:30:00,480
C00094,P00304,FL0009,FL0088,JFK,2026-10-01 21:45:00,2026-10-02 05:45:00,480
C00095,P00608,FL0147,FL0030,SIN,2026-10-01 20:30:00,2026-10-02 00:00:00,210
C00096,P00439,FL0136,FL0048,JFK,2026-10-03 18:00:00,2026-10-04 01:15:00,435
C00097,P00583,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00098,P00343,FL0136,FL0048,JFK,2026-10-03 18:00:00,2026-10-04 01:15:00,435
C00099,P01737,FL0195,FL0018,FRA,2026-10-03 09:00:00,2026-10-03 15:00:00,360
C00100,P00368,FL0123,FL0007,DXB,2026-10-06 19:45:00,2026-10-07 01:00:00,315
C00101,P01755,FL0083,FL0114,LHR,2026-10-02 08:30:00,2026-10-02 13:30:00,300
C00102,P00301,FL0036,FL0009,FRA,2026-10-01 10:45:00,2026-10-01 12:45:00,120
C00103,P00544,FL0188,FL0015,SIN,2026-10-07 03:45:00,2026-10-07 05:00:00,75
C00104,P01601,FL0018,FL0048,JFK,2026-10-04 00:00:00,2026-10-04 01:15:00,75
C00105,P00351,FL0036,FL0009,FRA,2026-10-01 10:45:00,2026-10-01 12:45:00,120
C00106,P01413,FL0119,FL0098,CDG,2026-10-07 13:15:00,2026-10-07 17:30:00,255
C00107,P00124,FL0018,FL0152,JFK,2026-10-04 00:00:00,2026-10-04 05:00:00,300
C00108,P01379,FL0122,FL0094,LHR,2026-10-07 01:15:00,2026-10-07 07:15:00,360
C00109,P01186,FL0051,FL0155,LHR,2026-10-07 06:45:00,2026-10-07 13:30:00,405
C00110,P00332,FL0158,FL0148,CDG,2026-10-06 09:00:00,2026-10-06 12:15:00,195
C00111,P01197,FL0083,FL0114,LHR,2026-10-02 08:30:00,2026-10-02 13:30:00,300
C00112,P01804,FL0051,FL0155,LHR,2026-10-07 06:45:00,2026-10-07 13:30:00,405
C00113,P01913,FL0051,FL0155,LHR,2026-10-07 06:45:00,2026-10-07 13:30:00,405
C00114,P01450,FL0074,FL0152,JFK,2026-10-04 03:15:00,2026-10-04 05:00:00,105
C00115,P00765,FL0187,FL0180,SIN,2026-10-05 15:45:00,2026-10-05 21:45:00,360
C00116,P01432,FL0182,FL0047,DOH,2026-10-04 07:30:00,2026-10-04 15:15:00,465
C00117,P01740,FL0127,FL0038,JFK,2026-10-05 21:00:00,2026-10-06 01:00:00,240
C00118,P00693,FL0108,FL0149,LAX,2026-10-04 02:30:00,2026-10-04 04:00:00,90
C00119,P01241,FL0193,FL0084,LHR,2026-10-07 00:30:00,2026-10-07 01:30:00,60
C00120,P00589,FL0138,FL0019,DXB,2026-10-03 05:15:00,2026-10-03 09:15:00,240
C00121,P00260,FL0009,FL0088,JFK,2026-10-01 21:45:00,2026-10-02 05:45:00,480
C00122,P01360,FL0127,FL0038,JFK,2026-10-05 21:00:00,2026-10-06 01:00:00,240
C00123,P01392,FL0167,FL0161,DXB,2026-10-02 09:15:00,2026-10-02 15:00:00,345
C00124,P01007,FL0078,FL0088,JFK,2026-10-02 00:15:00,2026-10-02 05:45:00,330
C00125,P00986,FL0138,FL0013,DXB,2026-10-03 05:15:00,2026-10-03 13:15:00,480
C00126,P00399,FL0122,FL0094,LHR,2026-10-07 01:15:00,2026-10-07 07:15:00,360
C00127,P00615,FL0042,FL0055,SIN,2026-10-04 12:30:00,2026-10-04 16:15:00,225
C00128,P01494,FL0065,FL0016,JFK,2026-10-06 08:00:00,2026-10-06 09:15:00,75
C00129,P00987,FL0041,FL0079,FRA,2026-10-03 00:45:00,2026-10-03 05:45:00,300
C00130,P01870,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00131,P01623,FL0089,FL0136,LHR,2026-10-03 07:30:00,2026-10-03 10:00:00,150
C00132,P01537,FL0002,FL0121,FRA,2026-10-06 22:45:00,2026-10-07 02:45:00,240
C00133,P01014,FL0060,FL0178,LHR,2026-10-07 01:30:00,2026-10-07 07:00:00,330
C00134,P00440,FL0110,FL0042,DXB,2026-10-04 00:15:00,2026-10-04 05:30:00,315
C00135,P00818,FL0083,FL0114,LHR,2026-10-02 08:30:00,2026-10-02 13:30:00,300
C00136,P01472,FL0195,FL0018,FRA,2026-10-03 09:00:00,2026-10-03 15:00:00,360
C00137,P01830,FL0108,FL0149,LAX,2026-10-04 02:30:00,2026-10-04 04:00:00,90
C00138,P01455,FL0123,FL0007,DXB,2026-10-06 19:45:00,2026-10-07 01:00:00,315
C00139,P00251,FL0028,FL0174,CDG,2026-10-02 09:30:00,2026-10-02 13:15:00,225
C00140,P01386,FL0191,FL0121,FRA,2026-10-06 20:30:00,2026-10-07 02:45:00,375
C00141,P01566,FL0193,FL0132,LHR,2026-10-07 00:30:00,2026-10-07 07:30:00,420
C00142,P00533,FL0051,FL0155,LHR,2026-10-07 06:45:00,2026-10-07 13:30:00,405
