flight_id,origin,destination,departure,arrival,aircraft_id,capacity,occupied_seats,available_seats,status
FL0027,DXB,BOM,2026-10-03 06:15:00,2026-10-03 09:15:00,AC009,396,348,48,SCHEDULED
FL0028,DXB,CDG,2026-10-01 08:00:00,2026-10-01 15:00:00,AC009,396,256,140,SCHEDULED
FL0029,DXB,BOM,2026-10-01 16:00:00,2026-10-01 19:00:00,AC029,396,329,67,SCHEDULED
FL0030,DXB,CDG,2026-10-03 21:15:00,2026-10-04 04:15:00,AC021,300,219,81,SCHEDULED
FL0031,DXB,SIN,2026-10-06 21:15:00,2026-10-07 04:15:00,AC025,180,150,30,SCHEDULED
FL0032,LAX,JFK,2026-10-04 12:00:00,2026-10-04 18:00:00,AC019,484,266,218,SCHEDULED
FL0033,CDG,JFK,2026-10-04 17:45:00,2026-10-05 02:45:00,AC010,484,347,137,SCHEDULED
FL0034,DOH,JFK,2026-10-07 07:00:00,2026-10-07 21:00:00,AC001,220,117,103,SCHEDULED
FL0035,LHR,BOM,2026-10-06 16:00:00,2026-10-07 01:00:00,AC023,325,225,100,SCHEDULED
FL0036,DXB,FRA,2026-10-02 20:15:00,2026-10-03 03:15:00,AC027,325,270,55,SCHEDULED
FL0037,DXB,DOH,2026-10-03 20:15:00,2026-10-03 21:15:00,AC023,325,181,144,SCHEDULED
FL0038,DOH,JFK,2026-10-07 09:00:00,2026-10-07 23:00:00,AC024,220,193,27,SCHEDULED
FL0039,SIN,MEL,2026-10-07 06:00:00,2026-10-07 14:00:00,AC014,325,222,103,SCHEDULED
FL0040,DXB,DOH,2026-10-04 21:45:00,2026-10-04 22:45:00,AC029,396,252,144,SCHEDULED
FL0041,JFK,SFO,2026-10-04 07:15:00,2026-10-04 13:15:00,AC001,220,158,62,SCHEDULED
FL0042,DXB,LHR,2026-10-04 14:45:00,2026-10-04 22:45:00,AC003,396,271,125,SCHEDULED
FL0043,DOH,LHR,2026-10-06 21:15:00,2026-10-07 04:15:00,AC004,220,134,86,SCHEDULED
FL0044,LHR,FRA,2026-10-02 07:00:00,2026-10-02 09:00:00,AC029,396,278,118,SCHEDULED
FL0045,DXB,JFK,2026-10-01 21:15:00,2026-10-02 11:15:00,AC024,220,117,103,SCHEDULED
FL0046,SIN,SYD,2026-10-01 11:00:00,2026-10-01 19:00:00,AC014,325,179,146,SCHEDULED
FL0047,CDG,JFK,2026-10-07 13:45:00,2026-10-07 22:45:00,AC007,396,228,168,SCHEDULED
FL0048,ORD,LAX,2026-10-05 13:00:00,2026-10-05 17:00:00,AC008,180,100,80,SCHEDULED
FL0049,DOH,LHR,2026-10-06 16:30:00,2026-10-06 23:30:00,AC012,396,250,146,SCHEDULED
FL0050,CDG,JFK,2026-10-06 16:15:00,2026-10-07 01:15:00,AC025,180,123,57,SCHEDULED
FL0051,LHR,BOM,2026-10-02 15:45:00,2026-10-03 00:45:00,AC024,220,150,70,SCHEDULED
FL0052,NRT,SIN,2026-10-01 06:45:00,2026-10-01 13:45:00,AC017,220,189,31,SCHEDULED
FL0053,SIN,BKK,2026-10-01 08:15:00,2026-10-01 10:15:00,AC024,220,174,46,SCHEDULED
FL0054,LHR,JFK,2026-10-02 17:00:00,2026-10-03 01:00:00,AC027,325,224,101,SCHEDULED
FL0055,LHR,AMS,2026-10-03 11:45:00,2026-10-03 13:45:00,AC005,180,159,21,SCHEDULED
FL0056,CDG,DXB,2026-10-03 06:30:00,2026-10-03 13:30:00,AC009,396,224,172,SCHEDULED
FL0057,ORD,LAX,2026-10-02 14:00:00,2026-10-02 18:00:00,AC019,484,269,215,SCHEDULED
FL0058,NRT,LAX,2026-10-05 10:30:00,2026-10-05 20:30:00,AC002,220,146,74,SCHEDULED
FL0059,FRA,JFK,2026-10-02 16:15:00,2026-10-03 01:15:00,AC004,220,197,23,SCHEDULED
FL0060,FRA,SIN,2026-10-07 14:45:00,2026-10-08 02:45:00,AC004,220,142,78,SCHEDULED
FL0061,ORD,LAX,2026-10-07 07:00:00,2026-10-07 11:00:00,AC004,220,191,29,SCHEDULED
FL0062,DOH,LHR,2026-10-07 14:00:00,2026-10-07 21:00:00,AC006,484,242,242,SCHEDULED
FL0063,LHR,CDG,2026-10-07 10:30:00,2026-10-07 12:30:00,AC013,484,283,201,SCHEDULED
FL0064,NRT,LAX,2026-10-04 19:00:00,2026-10-05 05:00:00,AC001,220,124,96,SCHEDULED
FL0065,DXB,BOM,2026-10-06 10:00:00,2026-10-06 13:00:00,AC009,396,292,104,SCHEDULED
FL0066,SIN,BKK,2026-10-05 10:45:00,2026-10-05 12:45:00,AC025,180,106,74,SCHEDULED
FL0067,DXB,JFK,2026-10-03 17:00:00,2026-10-04 07:00:00,AC023,325,253,72,SCHEDULED
FL0068,DXB,FRA,2026-10-06 13:00:00,2026-10-06 20:00:00,AC023,325,252,73,SCHEDULED
FL0069,NRT,SIN,2026-10-05 19:15:00,2026-10-06 02:15:00,AC013,484,302,182,SCHEDULED
FL0070,JFK,SFO,2026-10-02 11:45:00,2026-10-02 17:45:00,AC025,180,93,87,SCHEDULED
FL0071,DXB,DOH,2026-10-06 16:45:00,2026-10-06 17:45:00,AC007,396,261,135,SCHEDULED
FL0072,LHR,JFK,2026-10-02 09:45:00,2026-10-02 17:45:00,AC026,396,207,189,SCHEDULED
FL0073,JFK,SFO,2026-10-04 13:15:00,2026-10-04 19:15:00,AC011,325,279,46,SCHEDULED
FL0074,LHR,AMS,2026-10-03 13:15:00,2026-10-03 15:15:00,AC023,325,168,157,SCHEDULED
FL0075,CDG,JFK,2026-10-02 18:30:00,2026-10-03 03:30:00,AC022,220,145,75,SCHEDULED
FL0076,JFK,SFO,2026-10-01 14:30:00,2026-10-01 20:30:00,AC025,180,155,25,SCHEDULED
FL0077,LHR,BOM,2026-10-06 16:00:00,2026-10-07 01:00:00,AC010,484,271,213,SCHEDULED
FL0078,ORD,LAX,2026-10-03 11:30:00,2026-10-03 15:30:00,AC009,396,207,189,SCHEDULED
FL0079,DXB,DEL,2026-10-05 19:30:00,2026-10-05 22:30:00,AC024,220,150,70,SCHEDULED
FL0080,DOH,LHR,2026-10-05 09:45:00,2026-10-05 16:45:00,AC017,220,183,37,SCHEDULED
FL0081,DXB,FRA,2026-10-03 07:45:00,2026-10-03 14:45:00,AC030,300,150,150,SCHEDULED
FL0082,SIN,SYD,2026-10-07 12:30:00,2026-10-07 20:30:00,AC024,220,165,55,SCHEDULED
FL0083,DXB,BOM,2026-10-06 16:30:00,2026-10-06 19:30:00,AC008,180,105,75,SCHEDULED
FL0084,NRT,LAX,2026-10-03 15:45:00,2026-10-04 01:45:00,AC029,396,281,115,SCHEDULED
FL0085,LHR,BOM,2026-10-06 15:15:00,2026-10-07 00:15:00,AC010,484,291,193,SCHEDULED
FL0086,DOH,LHR,2026-10-06 18:15:00,2026-10-07 01:15:00,AC022,220,188,32,SCHEDULED
FL0087,SIN,BKK,2026-10-03 18:00:00,2026-10-03 20:00:00,AC002,220,148,72,SCHEDULED
FL0088,LHR,FRA,2026-10-02 19:30:00,2026-10-02 21:30:00,AC014,325,281,44,SCHEDULED
FL0089,DOH,JFK,2026-10-04 12:45:00,2026-10-05 02:45:00,AC022,220,131,89,SCHEDULED
FL0090,CDG,JFK,2026-10-01 15:30:00,2026-10-02 00:30:00,AC011,325,185,140,SCHEDULED
FL0091,LAX,SFO,2026-10-07 13:30:00,2026-10-07 14:30:00,AC020,484,299,185,SCHEDULED
FL0092,LAX,JFK,2026-10-02 10:00:00,2026-10-02 16:00:00,AC028,220,115,105,SCHEDULED
FL0093,DXB,CDG,2026-10-04 08:45:00,2026-10-04 15:45:00,AC030,300,203,97,SCHEDULED
FL0094,ORD,LAX,2026-10-06 12:45:00,2026-10-06 16:45:00,AC001,220,173,47,SCHEDULED
FL0095,LHR,BOM,2026-10-02 10:00:00,2026-10-02 19:00:00,AC022,220,123,97,SCHEDULED
FL0096,NRT,SIN,2026-10-04 13:15:00,2026-10-04 20:15:00,AC011,325,280,45,SCHEDULED
FL0097,DXB,JFK,2026-10-05 13:00:00,2026-10-06 03:00:00,AC018,180,148,32,SCHEDULED
FL0098,DXB,SIN,2026-10-07 20:30:00,2026-10-08 03:30:00,AC030,300,246,54,SCHEDULED
FL0099,ORD,LAX,2026-10-04 19:45:00,2026-10-04 23:45:00,AC018,180,110,70,SCHEDULED
FL0100,NRT,LAX,2026-10-07 21:45:00,2026-10-08 07:45:00,AC025,180,123,57,SCHEDULED
FL0101,NRT,SIN,2026-10-02 14:45:00,2026-10-02 21:45:00,AC018,180,120,60,SCHEDULED
FL0102,LHR,JFK,2026-10-04 08:30:00,2026-10-04 16:30:00,AC013,484,302,182,SCHEDULED
FL0103,LHR,JFK,2026-10-03 16:00:00,2026-10-04 00:00:00,AC012,396,233,163,SCHEDULED
FL0104,DXB,SIN,2026-10-02 18:15:00,2026-10-03 01:15:00,AC005,180,117,63,SCHEDULED
FL0105,DXB,BOM,2026-10-04 19:30:00,2026-10-04 22:30:00,AC004,220,179,41,SCHEDULED
FL0106,DOH,JFK,2026-10-04 07:15:00,2026-10-04 21:15:00,AC009,396,305,91,SCHEDULED
FL0107,LHR,BOM,2026-10-07 06:45:00,2026-10-07 15:45:00,AC006,484,364,120,SCHEDULED
FL0108,DXB,LHR,2026-10-03 15:45:00,2026-10-03 23:45:00,AC021,300,259,41,SCHEDULED
FL0109,ORD,LAX,2026-10-07 19:15:00,2026-10-07 23:15:00,AC006,484,366,118,SCHEDULED
FL0110,DXB,CDG,2026-10-03 19:45:00,2026-10-04 02:45:00,AC027,325,169,156,SCHEDULED
FL0111,LHR,BOM,2026-10-03 18:15:00,2026-10-04 03:15:00,AC013,484,361,123,SCHEDULED
FL0112,DXB,SIN,2026-10-05 06:45:00,2026-10-05 13:45:00,AC023,325,168,157,SCHEDULED
FL0113,DXB,BOM,2026-10-06 19:15:00,2026-10-06 22:15:00,AC019,484,360,124,SCHEDULED
FL0114,DXB,DOH,2026-10-01 14:45:00,2026-10-01 15:45:00,AC028,220,151,69,SCHEDULED
FL0115,DXB,FRA,2026-10-04 16:30:00,2026-10-04 23:30:00,AC026,396,295,101,SCHEDULED
FL0116,LHR,JFK,2026-10-07 19:30:00,2026-10-08 03:30:00,AC016,300,256,44,SCHEDULED
FL0117,DXB,BOM,2026-10-04 06:00:00,2026-10-04 09:00:00,AC018,180,134,46,SCHEDULED
FL0118,DXB,CDG,2026-10-06 08:00:00,2026-10-06 15:00:00,AC023,325,169,156,SCHEDULED
FL0119,DXB,CDG,2026-10-02 06:15:00,2026-10-02 13:15:00,AC020,484,303,181,SCHEDULED
FL0120,DXB,SIN,2026-10-04 09:15:00,2026-10-04 16:15:00,AC029,396,317,79,SCHEDULED
FL0121,CDG,DXB,2026-10-03 17:15:00,2026-10-04 00:15:00,AC004,220,187,33,SCHEDULED
FL0122,FRA,JFK,2026-10-06 09:15:00,2026-10-06 18:15:00,AC007,396,277,119,SCHEDULED
FL0123,DXB,DEL,2026-10-05 06:30:00,2026-10-05 09:30:00,AC024,220,183,37,SCHEDULED
FL0124,CDG,JFK,2026-10-04 18:15:00,2026-10-05 03:15:00,AC028,220,119,101,SCHEDULED
FL0125,SIN,BKK,2026-10-06 13:00:00,2026-10-06 15:00:00,AC030,300,239,61,SCHEDULED
FL0126,NRT,SIN,2026-10-03 09:00:00,2026-10-03 16:00:00,AC020,484,330,154,SCHEDULED
FL0127,SIN,MEL,2026-10-04 17:00:00,2026-10-05 01:00:00,AC030,300,214,86,SCHEDULED
FL0128,FRA,SIN,2026-10-03 06:45:00,2026-10-03 18:45:00,AC029,396,323,73,SCHEDULED
FL0129,DXB,DEL,2026-10-04 17:45:00,2026-10-04 20:45:00,AC001,220,129,91,SCHEDULED
FL0130,DOH,LHR,2026-10-02 14:45:00,2026-10-02 21:45:00,AC002,220,169,51,SCHEDULED
FL0131,DOH,LHR,2026-10-07 14:30:00,2026-10-07 21:30:00,AC017,220,141,79,SCHEDULED
FL0132,LAX,SFO,2026-10-01 14:45:00,2026-10-01 15:45:00,AC018,180,121,59,SCHEDULED
FL0133,NRT,SIN,2026-10-04 18:30:00,2026-10-05 01:30:00,AC027,325,169,156,SCHEDULED
FL0134,DOH,SIN,2026-10-07 16:15:00,2026-10-08 00:15:00,AC027,325,286,39,SCHEDULED
FL0135,DXB,FRA,2026-10-03 14:30:00,2026-10-03 21:30:00,AC006,484,313,171,SCHEDULED
FL0136,ORD,LAX,2026-10-05 14:00:00,2026-10-05 18:00:00,AC016,300,216,84,SCHEDULED
FL0137,DXB,FRA,2026-10-01 13:45:00,2026-10-01 20:45:00,AC023,325,287,38,SCHEDULED
FL0138,SIN,MEL,2026-10-07 13:45:00,2026-10-07 21:45:00,AC006,484,407,77,SCHEDULED
FL0139,CDG,DXB,2026-10-04 20:00:00,2026-10-05 03:00:00,AC015,484,265,219,SCHEDULED
FL0140,LHR,FRA,2026-10-02 18:15:00,2026-10-02 20:15:00,AC029,396,276,120,SCHEDULED
FL0141,CDG,JFK,2026-10-05 17:45:00,2026-10-06 02:45:00,AC009,396,339,57,SCHEDULED
FL0142,SIN,SYD,2026-10-03 19:30:00,2026-10-04 03:30:00,AC028,220,155,65,SCHEDULED
FL0143,CDG,DXB,2026-10-04 14:30:00,2026-10-04 21:30:00,AC028,220,142,78,SCHEDULED
FL0144,DXB,CDG,2026-10-01 12:30:00,2026-10-01 19:30:00,AC007,396,228,168,SCHEDULED
FL0145,NRT,LAX,2026-10-05 11:15:00,2026-10-05 21:15:00,AC006,484,297,187,SCHEDULED
FL0146,NRT,LAX,2026-10-04 14:30:00,2026-10-05 00:30:00,AC006,484,267,217,SCHEDULED
FL0147,LAX,SFO,2026-10-02 15:15:00,2026-10-02 16:15:00,AC011,325,254,71,SCHEDULED
FL0148,DXB,DOH,2026-10-03 06:15:00,2026-10-03 07:15:00,AC005,180,125,55,SCHEDULED
FL0149,DXB,JFK,2026-10-01 15:15:00,2026-10-02 05:15:00,AC013,484,405,79,SCHEDULED
FL0150,JFK,SFO,2026-10-07 21:00:00,2026-10-08 03:00:00,AC003,396,201,195,SCHEDULED
FL0151,SIN,BKK,2026-10-03 21:45:00,2026-10-03 23:45:00,AC019,484,354,130,SCHEDULED
FL0152,LHR,CDG,2026-10-02 07:30:00,2026-10-02 09:30:00,AC002,220,171,49,SCHEDULED
FL0153,DXB,DEL,2026-10-07 08:45:00,2026-10-07 11:45:00,AC019,484,367,117,SCHEDULED
FL0154,DXB,BOM,2026-10-05 07:15:00,2026-10-05 10:15:00,AC021,300,169,131,SCHEDULED
FL0155,LAX,JFK,2026-10-05 15:00:00,2026-10-05 21:00:00,AC021,300,181,119,SCHEDULED
FL0156,DXB,DEL,2026-10-05 19:15:00,2026-10-05 22:15:00,AC005,180,156,24,SCHEDULED
FL0157,LHR,BOM,2026-10-04 20:30:00,2026-10-05 05:30:00,AC016,300,260,40,SCHEDULED
FL0158,SIN,BKK,2026-10-04 15:00:00,2026-10-04 17:00:00,AC026,396,354,42,SCHEDULED
FL0159,NRT,LAX,2026-10-01 12:15:00,2026-10-01 22:15:00,AC005,180,123,57,SCHEDULED
FL0160,CDG,JFK,2026-10-01 11:15:00,2026-10-01 20:15:00,AC024,220,132,88,SCHEDULED
FL0161,SIN,MEL,2026-10-01 11:00:00,2026-10-01 19:00:00,AC022,220,162,58,SCHEDULED
FL0162,DOH,JFK,2026-10-06 21:30:00,2026-10-07 11:30:00,AC019,484,250,234,SCHEDULED
FL0163,DXB,CDG,2026-10-03 15:45:00,2026-10-03 22:45:00,AC004,220,119,101,SCHEDULED
FL0164,CDG,JFK,2026-10-02 14:15:00,2026-10-02 23:15:00,AC003,396,306,90,SCHEDULED
FL0165,DXB,DEL,2026-10-05 13:15:00,2026-10-05 16:15:00,AC025,180,124,56,SCHEDULED
FL0166,LAX,SFO,2026-10-02 08:00:00,2026-10-02 09:00:00,AC026,396,240,156,SCHEDULED
FL0167,LAX,JFK,2026-10-03 15:45:00,2026-10-03 21:45:00,AC015,484,273,211,SCHEDULED
FL0168,DOH,JFK,2026-10-06 15:45:00,2026-10-07 05:45:00,AC028,220,144,76,SCHEDULED
FL0169,SIN,SYD,2026-10-05 21:45:00,2026-10-06 05:45:00,AC001,220,120,100,SCHEDULED
FL0170,FRA,JFK,2026-10-01 19:30:00,2026-10-02 04:30:00,AC017,220,187,33,SCHEDULED
FL0171,LHR,JFK,2026-10-01 08:15:00,2026-10-01 16:15:00,AC028,220,196,24,SCHEDULED
FL0172,LAX,SFO,2026-10-07 06:30:00,2026-10-07 07:30:00,AC029,396,345,51,SCHEDULED
FL0173,DXB,JFK,2026-10-07 11:45:00,2026-10-08 01:45:00,AC001,220,176,44,SCHEDULED
FL0174,FRA,SIN,2026-10-04 14:15:00,2026-10-05 02:15:00,AC004,220,184,36,SCHEDULED
FL0175,DOH,LHR,2026-10-06 21:00:00,2026-10-07 04:00:00,AC007,396,318,78,SCHEDULED
FL0176,LHR,AMS,2026-10-04 16:30:00,2026-10-04 18:30:00,AC029,396,224,172,SCHEDULED
FL0177,JFK,SFO,2026-10-02 16:45:00,2026-10-02 22:45:00,AC026,396,324,72,SCHEDULED
FL0178,LHR,FRA,2026-10-06 18:00:00,2026-10-06 20:00:00,AC022,220,168,52,SCHEDULED
FL0179,DXB,BOM,2026-10-03 14:30:00,2026-10-03 17:30:00,AC003,396,227,169,SCHEDULED
FL0180,NRT,SIN,2026-10-04 06:45:00,2026-10-04 13:45:00,AC008,180,142,38,SCHEDULED
FL0181,DXB,JFK,2026-10-02 17:45:00,2026-10-03 07:45:00,AC003,396,311,85,SCHEDULED
FL0182,NRT,SIN,2026-10-01 12:30:00,2026-10-01 19:30:00,AC014,325,195,130,SCHEDULED
FL0183,LHR,FRA,2026-10-04 21:00:00,2026-10-04 23:00:00,AC016,300,153,147,SCHEDULED
FL0184,FRA,SIN,2026-10-05 13:15:00,2026-10-06 01:15:00,AC029,396,277,119,SCHEDULED
FL0185,SIN,MEL,2026-10-01 19:00:00,2026-10-02 03:00:00,AC027,325,219,106,SCHEDULED
FL0186,LAX,SFO,2026-10-01 20:00:00,2026-10-01 21:00:00,AC018,180,109,71,SCHEDULED
FL0187,DOH,SIN,2026-10-06 15:30:00,2026-10-06 23:30:00,AC019,484,348,136,SCHEDULED
FL0188,LAX,SFO,2026-10-04 21:15:00,2026-10-04 22:15:00,AC002,220,168,52,SCHEDULED
FL0189,SIN,MEL,2026-10-02 18:15:00,2026-10-03 02:15:00,AC005,180,155,25,SCHEDULED
FL0190,NRT,LAX,2026-10-02 08:30:00,2026-10-02 18:30:00,AC027,325,268,57,SCHEDULED
FL0191,LHR,CDG,2026-10-07 14:00:00,2026-10-07 16:00:00,AC001,220,146,74,SCHEDULED
FL0192,NRT,LAX,2026-10-03 21:15:00,2026-10-04 07:15:00,AC013,484,356,128,SCHEDULED
FL0193,SIN,MEL,2026-10-04 17:30:00,2026-10-05 01:30:00,AC009,396,339,57,SCHEDULED
FL0194,NRT,SIN,2026-10-05 18:45:00,2026-10-06 01:45:00,AC030,300,269,31,SCHEDULED
FL0195,LHR,CDG,2026-10-07 12:15:00,2026-10-07 14:15:00,AC008,180,139,41,SCHEDULED
FL0196,DXB,CDG,2026-10-07 19:00:00,2026-10-08 02:00:00,AC007,396,279,117,SCHEDULED
FL0197,NRT,LAX,2026-10-04 18:45:00,2026-10-05 04:45:00,AC006,484,411,73,SCHEDULED
FL0198,LAX,JFK,2026-10-07 10:45:00,2026-10-07 16:45:00,AC020,484,251,233,SCHEDULED
FL0199,DXB,SIN,2026-10-05 16:00:00,2026-10-05 23:00:00,AC016,300,261,39,SCHEDULED
FL0200,JFK,SFO,2026-10-04 09:45:00,2026-10-04 15:45:00,AC004,220,111,109,SCHEDULED
