rotation_id,aircraft_id,flight_id,leg_number
R000473,AC017,FL1818,3
R000474,AC017,FL1715,1
R000475,AC017,FL0692,1
R000476,AC017,FL1139,2
R000477,AC017,FL2449,1
R000478,AC017,FL0723,2
R000479,AC017,FL1814,3
R000480,AC017,FL0148,4
R000481,AC017,FL1182,5
R000482,AC017,FL1114,6
R000483,AC017,FL1680,1
R000484,AC017,FL1149,2
R000485,AC017,FL1401,1
R000486,AC018,FL0542,1
R000487,AC018,FL0343,1
R000488,AC018,FL1280,1
R000489,AC018,FL0760,1
R000490,AC018,FL1038,1
R000491,AC018,FL0248,2
R000492,AC018,FL2294,3
R000493,AC018,FL2040,4
R000494,AC018,FL0276,1
R000495,AC018,FL1857,1
R000496,AC018,FL2577,1
R000497,AC018,FL2390,1
R000498,AC018,FL0098,1
R000499,AC018,FL0233,1
R000500,AC018,FL1550,1
R000501,AC018,FL1601,1
R000502,AC018,FL0381,2
R000503,AC018,FL0112,1
R000504,AC018,FL1157,2
R000505,AC018,FL0778,1
R000506,AC018,FL0312,1
R000507,AC018,FL0843,2
R000508,AC018,FL2165,1
R000509,AC018,FL0849,1
R000510,AC018,FL1652,1
R000511,AC018,FL0017,2
R000512,AC018,FL1904,3
R000513,AC018,FL2290,1
R000514,AC018,FL1629,1
R000515,AC018,FL0404,2
R000516,AC018,FL1105,3
R000517,AC018,FL0247,1
R000518,AC019,FL2576,1
R000519,AC019,FL0982,2
R000520,AC019,FL1945,1
R000521,AC019,FL2583,1
R000522,AC019,FL0804,2
R000523,AC019,FL1200,1
R000524,AC019,FL2124,2
R000525,AC019,FL2713,3
R000526,AC019,FL0677,1
R000527,AC019,FL0442,2
R000528,AC019,FL2670,1
R000529,AC019,FL0352,1
R000530,AC019,FL2938,1
R000531,AC019,FL2726,2
R000532,AC019,FL2113,3
R000533,AC019,FL0052,4
R000534,AC019,FL0792,5
R000535,AC019,FL0255,6
R000536,AC019,FL0769,1
R000537,AC019,FL2318,2
R000538,AC019,FL0213,1
R000539,AC019,FL0863,2
R000540,AC019,FL1134,1
R000541,AC019,FL0012,1
R000542,AC019,FL1866,2
R000543,AC019,FL0835,3
R000544,AC019,FL2761,1
R000545,AC019,FL1331,1
R000546,AC020,FL2941,1
R000547,AC020,FL1582,1
R000548,AC020,FL1257,1
R000549,AC020,FL2818,2
R000550,AC020,FL1987,1
R000551,AC020,FL0070,1
R000552,AC020,FL0127,2
R000553,AC020,FL0942,1
R000554,AC020,FL2827,2
R000555,AC020,FL0013,1
R000556,AC020,FL0164,2
R000557,AC020,FL0818,3
R000558,AC020,FL2715,1
R000559,AC020,FL1137,2
R000560,AC020,FL2324,3
R000561,AC020,FL1057,4
R000562,AC020,FL0491,1
R000563,AC020,FL0890,1
R000564,AC020,FL2237,2
R000565,AC020,FL2563,3
R000566,AC021,FL0430,1
R000567,AC021,FL1703,2
R000568,AC021,FL1877,1
R000569,AC021,FL2480,1
R000570,AC021,FL1605,1
R000571,AC021,FL1212,2
R000572,AC021,FL0712,1
R000573,AC021,FL2389,2
R000574,AC021,FL1138,3
R000575,AC021,FL0432,4
R000576,AC021,FL0979,1
R000577,AC021,FL2270,1
R000578,AC021,FL1865,2
R000579,AC021,FL1456,3
R000580,AC021,FL0145,4
R000581,AC021,FL2465,1
R000582,AC021,FL2532,2
R000583,AC021,FL0590,3
R000584,AC021,FL1891,4
R000585,AC021,FL0382,5
R000586,AC021,FL2729,1
R000587,AC021,FL1574,1
R000588,AC021,FL1075,2
R000589,AC021,FL2353,3
R000590,AC021,FL2192,1
R000591,AC022,FL1863,1
R000592,AC022,FL2152,1
R000593,AC022,FL0144,1
R000594,AC022,FL0729,2
R000595,AC022,FL2637,1
R000596,AC022,FL2740,1
R000597,AC022,FL1585,1
R000598,AC022,FL0558,2
R000599,AC022,FL0951,3
R000600,AC022,FL1435,4
R000601,AC022,FL1964,1
R000602,AC022,FL1477,2
R000603,AC022,FL0856,1
R000604,AC022,FL0308,2
R000605,AC022,FL2387,3
R000606,AC022,FL0917,4
R000607,AC022,FL2226,5
R000608,AC022,FL1627,6
R000609,AC022,FL2653,7
R000610,AC022,FL1535,1
R000611,AC022,FL1603,1
R000612,AC022,FL0560,2
R000613,AC022,FL2974,3
R000614,AC022,FL1013,1
R000615,AC022,FL2629,1
R000616,AC022,FL1101,1
R000617,AC022,FL2674,2
R000618,AC022,FL2077,1
R000619,AC022,FL0735,1
R000620,AC022,FL1024,1
R000621,AC022,FL2310,1
R000622,AC023,FL0626,1
R000623,AC023,FL2690,2
R000624,AC023,FL0675,1
R000625,AC023,FL2912,1
R000626,AC023,FL2171,1
R000627,AC023,FL2781,1
R000628,AC023,FL2269,1
R000629,AC023,FL2904,2
R000630,AC023,FL0884,3
R000631,AC023,FL2864,1
R000632,AC023,FL2438,1
R000633,AC023,FL0564,2
R000634,AC023,FL2500,1
R000635,AC023,FL2831,2
R000636,AC023,FL2479,1
R000637,AC023,FL0618,2
R000638,AC023,FL1148,1
R000639,AC023,FL1088,1
R000640,AC023,FL0225,2
R000641,AC023,FL0983,1
R000642,AC023,FL2724,1
R000643,AC023,FL2701,1
R000644,AC023,FL2381,1
R000645,AC023,FL2842,1
R000646,AC023,FL0483,1
R000647,AC023,FL1506,2
R000648,AC023,FL1750,3
R000649,AC023,FL1393,4
R000650,AC024,FL1726,1
R000651,AC024,FL0784,1
R000652,AC024,FL2333,1
R000653,AC024,FL2150,1
R000654,AC024,FL2154,1
R000655,AC024,FL2107,1
R000656,AC024,FL1969,2
R000657,AC024,FL2189,1
R000658,AC024,FL1426,2
R000659,AC024,FL1660,1
R000660,AC024,FL0553,1
R000661,AC024,FL2466,1
R000662,AC024,FL2663,1
R000663,AC024,FL0812,1
R000664,AC024,FL2215,2
R000665,AC024,FL1221,1
R000666,AC024,FL2820,2
R000667,AC024,FL0302,1
R000668,AC024,FL1178,1
R000669,AC024,FL0622,1
R000670,AC024,FL2240,1
R000671,AC024,FL2009,1
R000672,AC024,FL0125,2
R000673,AC024,FL1835,1
R000674,AC024,FL1576,1
R000675,AC024,FL0787,1
R000676,AC024,FL1472,1
R000677,AC024,FL0593,1
R000678,AC024,FL2190,1
R000679,AC024,FL0337,2
R000680,AC024,FL1957,3
R000681,AC024,FL0480,4
R000682,AC024,FL1892,5
R000683,AC024,FL0192,1
R000684,AC024,FL0956,1
R000685,AC024,FL0576,1
R000686,AC024,FL0368,1
R000687,AC024,FL0238,1
R000688,AC025,FL2868,1
R000689,AC025,FL0791,1
R000690,AC025,FL1593,1
R000691,AC025,FL2483,2
R000692,AC025,FL2817,1
R000693,AC025,FL2823,1
R000694,AC025,FL0131,1
R000695,AC025,FL1716,1
R000696,AC025,FL1206,1
R000697,AC025,FL2833,1
R000698,AC025,FL2081,2
R000699,AC025,FL1899,1
R000700,AC025,FL1398,1
R000701,AC025,FL2540,2
R000702,AC025,FL2174,1
R000703,AC025,FL1242,1
R000704,AC025,FL2560,2
R000705,AC025,FL0295,1
R000706,AC025,FL2175,1
R000707,AC025,FL1127,2
R000708,AC025,FL2518,3
R000709,AC025,FL2895,4
R000710,AC025,FL0537,1
R000711,AC025,FL2080,1
R000712,AC025,FL1510,2
R000713,AC025,FL2900,3
R000714,AC025,FL1239,1
R000715,AC025,FL0027,1
R000716,AC025,FL1553,1
R000717,AC025,FL2153,1
R000718,AC027,FL1569,1
R000719,AC027,FL0321,2
R000720,AC027,FL1927,1
R000721,AC027,FL2094,1
R000722,AC027,FL1304,2
R000723,AC027,FL2703,3
R000724,AC027,FL0608,1
R000725,AC027,FL2467,1
R000726,AC027,FL0026,2
R000727,AC027,FL1062,3
R000728,AC027,FL1413,1
R000729,AC027,FL0034,2
R000730,AC027,FL0322,1
R000731,AC027,FL1364,1
R000732,AC027,FL1146,1
R000733,AC027,FL0363,1
R000734,AC027,FL1869,2
R000735,AC027,FL0190,3
R000736,AC027,FL0251,1
R000737,AC027,FL1773,1
R000738,AC027,FL1346,1
R000739,AC027,FL2257,1
R000740,AC027,FL1831,1
R000741,AC027,FL1876,2
R000742,AC027,FL1408,1
R000743,AC027,FL1516,1
R000744,AC027,FL1245,2
R000745,AC027,FL1069,3
R000746,AC027,FL2925,4
R000747,AC027,FL2232,1
R000748,AC028,FL1204,1
R000749,AC028,FL0006,1
R000750,AC028,FL0619,2
R000751,AC028,FL1787,3
R000752,AC028,FL0920,4
R000753,AC028,FL2491,1
R000754,AC028,FL0306,2
R000755,AC028,FL0360,1
R000756,AC028,FL2408,1
R000757,AC028,FL2913,1
R000758,AC028,FL0060,1
R000759,AC028,FL0157,2
R000760,AC028,FL2140,3
R000761,AC028,FL1100,1
R000762,AC028,FL2836,2
R000763,AC028,FL2792,3
R000764,AC028,FL2360,4
R000765,AC028,FL2547,1
R000766,AC028,FL0196,1
R000767,AC028,FL0607,2
R000768,AC028,FL2276,3
R000769,AC028,FL1606,1
R000770,AC028,FL0995,1
R000771,AC028,FL2194,2
R000772,AC028,FL2006,1
R000773,AC029,FL2222,1
R000774,AC029,FL2692,1
R000775,AC029,FL2946,2
R000776,AC029,FL0041,1
R000777,AC029,FL2995,2
R000778,AC029,FL0548,1
R000779,AC029,FL2179,1
R000780,AC029,FL2259,1
R000781,AC029,FL1633,2
R000782,AC029,FL1894,3
R000783,AC029,FL1388,4
R000784,AC029,FL1828,1
R000785,AC029,FL0475,2
R000786,AC029,FL2926,1
R000787,AC029,FL2035,2
R000788,AC029,FL1519,1
R000789,AC029,FL1925,1
R000790,AC029,FL2825,1
R000791,AC029,FL1517,2
R000792,AC029,FL2469,3
R000793,AC029,FL0232,1
R000794,AC029,FL0937,1
R000795,AC029,FL0642,2
R000796,AC029,FL2400,1
R000797,AC029,FL0331,2
R000798,AC029,FL1276,3
R000799,AC031,FL2777,1
R000800,AC031,FL1267,1
R000801,AC031,FL0410,2
R000802,AC031,FL2877,3
R000803,AC031,FL0790,4
R000804,AC031,FL0909,1
R000805,AC031,FL0119,1
R000806,AC031,FL2399,1
R000807,AC031,FL2166,2
R000808,AC031,FL2131,1
R000809,AC031,FL2116,1
R000810,AC031,FL0515,1
R000811,AC031,FL0400,2
R000812,AC031,FL0470,3
R000813,AC031,FL2568,1
R000814,AC031,FL2654,2
R000815,AC031,FL2277,3
R000816,AC031,FL0262,1
R000817,AC031,FL1473,1
R000818,AC031,FL2180,1
R000819,AC031,FL0936,2
R000820,AC031,FL0260,1
R000821,AC031,FL0850,1
R000822,AC031,FL0186,2
R000823,AC032,FL0904,1
R000824,AC032,FL1596,1
R000825,AC032,FL0405,2
R000826,AC032,FL0565,1
R000827,AC032,FL1262,1
R000828,AC032,FL0970,1
R000829,AC032,FL0624,1
R000830,AC032,FL2923,1
R000831,AC032,FL0514,1
R000832,AC032,FL2234,2
R000833,AC032,FL2442,1
R000834,AC032,FL1343,2
R000835,AC032,FL2773,3
R000836,AC032,FL0789,4
R000837,AC032,FL1753,1
R000838,AC032,FL0305,2
R000839,AC032,FL0747,3
R000840,AC032,FL0946,1
R000841,AC032,FL0697,1
R000842,AC032,FL1055,2
R000843,AC032,FL1697,1
R000844,AC032,FL1124,1
R000845,AC032,FL1649,1
R000846,AC032,FL1132,1
R000847,AC032,FL0615,2
R000848,AC032,FL2376,3
R000849,AC032,FL2348,4
R000850,AC032,FL1690,5
R000851,AC032,FL1385,6
R000852,AC032,FL0885,1
R000853,AC033,FL1998,1
R000854,AC033,FL0648,2
R000855,AC033,FL1220,1
R000856,AC033,FL2607,1
R000857,AC033,FL0859,1
R000858,AC033,FL2990,2
R000859,AC033,FL1444,3
R000860,AC033,FL1642,1
R000861,AC033,FL1598,1
R000862,AC033,FL2503,1
R000863,AC033,FL1549,2
R000864,AC033,FL0862,1
R000865,AC033,FL0425,2
R000866,AC033,FL1719,3
R000867,AC033,FL1092,4
R000868,AC033,FL1089,1
R000869,AC033,FL0716,1
R000870,AC033,FL0725,1
R000871,AC033,FL2632,2
R000872,AC033,FL0617,3
R000873,AC033,FL2778,1
R000874,AC033,FL1841,1
R000875,AC033,FL2899,2
R000876,AC033,FL2656,1
R000877,AC033,FL0465,1
R000878,AC034,FL2291,1
R000879,AC034,FL1875,1
R000880,AC034,FL0154,2
R000881,AC034,FL0739,3
R000882,AC034,FL2461,1
R000883,AC034,FL1914,1
R000884,AC034,FL2966,2
R000885,AC034,FL0518,3
R000886,AC034,FL0344,1
R000887,AC034,FL2241,2
R000888,AC034,FL0195,1
R000889,AC034,FL0508,2
R000890,AC034,FL0834,1
R000891,AC034,FL1948,1
R000892,AC034,FL1430,2
R000893,AC034,FL1087,3
R000894,AC034,FL2878,1
R000895,AC034,FL0652,2
R000896,AC034,FL2953,3
R000897,AC034,FL2932,1
R000898,AC034,FL1776,1
R000899,AC034,FL1778,2
R000900,AC034,FL2305,1
R000901,AC034,FL0851,2
R000902,AC034,FL1509,1
R000903,AC036,FL1450,1
R000904,AC036,FL1734,1
R000905,AC036,FL2655,1
R000906,AC036,FL1046,2
R000907,AC036,FL0419,1
R000908,AC036,FL0552,1
R000909,AC036,FL1748,1
R000910,AC036,FL0347,2
R000911,AC036,FL2388,3
R000912,AC036,FL2233,4
R000913,AC036,FL0610,1
R000914,AC036,FL2649,1
R000915,AC036,FL1052,2
R000916,AC036,FL0879,1
R000917,AC036,FL1330,1
R000918,AC036,FL0035,2
R000919,AC036,FL2689,3
R000920,AC036,FL2834,1
R000921,AC036,FL0408,2
R000922,AC036,FL0996,3
R000923,AC036,FL2561,1
R000924,AC036,FL0319,1
R000925,AC036,FL0800,1
R000926,AC036,FL2357,1
R000927,AC036,FL1295,2
R000928,AC036,FL0024,1
R000929,AC036,FL1738,2
R000930,AC038,FL1302,1
