crew_id,aircraft_type,qualification_level,valid_until
C00098,A380,PRIMARY,2028-12-31
C00099,A380,PRIMARY,2028-12-31
C00100,B787,PRIMARY,2028-12-31
C00101,A380,PRIMARY,2028-12-31
C00101,B777,SECONDARY,2028-12-31
C00102,A320,PRIMARY,2028-12-31
C00102,A321,SECONDARY,2028-12-31
C00103,B777,PRIMARY,2028-12-31
C00103,A380,SECONDARY,2028-12-31
C00104,B787,PRIMARY,2028-12-31
C00105,B787,PRIMARY,2028-12-31
C00106,B777,PRIMARY,2028-12-31
C00107,A380,PRIMARY,2028-12-31
C00108,A380,PRIMARY,2028-12-31
C00109,A380,PRIMARY,2028-12-31
C00110,B787,PRIMARY,2028-12-31
C00111,A380,PRIMARY,2028-12-31
C00111,A320,SECONDARY,2028-12-31
C00112,A321,PRIMARY,2028-12-31
C00113,A350,PRIMARY,2028-12-31
C00114,B787,PRIMARY,2028-12-31
C00115,A380,PRIMARY,2028-12-31
C00116,A380,PRIMARY,2028-12-31
C00116,A350,SECONDARY,2028-12-31
C00117,A321,PRIMARY,2028-12-31
C00118,B777,PRIMARY,2028-12-31
C00119,A380,PRIMARY,2028-12-31
C00120,B787,PRIMARY,2028-12-31
C00121,B787,PRIMARY,2028-12-31
C00122,A320,PRIMARY,2028-12-31
C00123,A321,PRIMARY,2028-12-31
C00124,B777,PRIMARY,2028-12-31
C00125,A321,PRIMARY,2028-12-31
C00125,A350,SECONDARY,2028-12-31
C00126,B787,PRIMARY,2028-12-31
C00127,A350,PRIMARY,2028-12-31
C00128,A321,PRIMARY,2028-12-31
C00129,A350,PRIMARY,2028-12-31
C00129,A320,SECONDARY,2028-12-31
C00130,B787,PRIMARY,2028-12-31
C00130,B777,SECONDARY,2028-12-31
C00131,A320,PRIMARY,2028-12-31
C00132,A320,PRIMARY,2028-12-31
C00132,A350,SECONDARY,2028-12-31
C00133,B777,PRIMARY,2028-12-31
C00134,A321,PRIMARY,2028-12-31
C00135,A380,PRIMARY,2028-12-31
C00136,B777,PRIMARY,2028-12-31
C00136,A321,SECONDARY,2028-12-31
C00137,A380,PRIMARY,2028-12-31
C00138,A380,PRIMARY,2028-12-31
C00139,A321,PRIMARY,2028-12-31
C00140,A380,PRIMARY,2028-12-31
C00140,A350,SECONDARY,2028-12-31
C00141,B787,PRIMARY,2028-12-31
C00142,A350,PRIMARY,2028-12-31
C00143,B787,PRIMARY,2028-12-31
C00144,A350,PRIMARY,2028-12-31
C00145,A321,PRIMARY,2028-12-31
C00146,B787,PRIMARY,2028-12-31
C00147,A380,PRIMARY,2028-12-31
C00147,B787,SECONDARY,2028-12-31
C00148,A320,PRIMARY,2028-12-31
C00149,A321,PRIMARY,2028-12-31
C00150,B777,PRIMARY,2028-12-31
C00150,A380,SECONDARY,2028-12-31
C00151,A350,PRIMARY,2028-12-31
C00151,B787,SECONDARY,2028-12-31
C00152,A320,PRIMARY,2028-12-31
C00153,A321,PRIMARY,2028-12-31
C00153,A380,SECONDARY,2028-12-31
C00154,B777,PRIMARY,2028-12-31
C00155,A350,PRIMARY,2028-12-31
C00156,A320,PRIMARY,2028-12-31
C00156,B787,SECONDARY,2028-12-31
C00157,A321,PRIMARY,2028-12-31
C00158,A320,PRIMARY,2028-12-31
C00159,B777,PRIMARY,2028-12-31
C00160,B787,PRIMARY,2028-12-31
C00160,A321,SECONDARY,2028-12-31
C00161,A320,PRIMARY,2028-12-31
C00162,B777,PRIMARY,2028-12-31
C00162,A380,SECONDARY,2028-12-31
C00163,A321,PRIMARY,2028-12-31
C00164,B777,PRIMARY,2028-12-31
C00164,A321,SECONDARY,2028-12-31
C00165,B787,PRIMARY,2028-12-31
C00165,A350,SECONDARY,2028-12-31
C00166,A380,PRIMARY,2028-12-31
C00166,A320,SECONDARY,2028-12-31
C00167,B777,PRIMARY,2028-12-31
C00168,A380,PRIMARY,2028-12-31
C00168,B787,SECONDARY,2028-12-31
C00169,A350,PRIMARY,2028-12-31
C00169,B777,SECONDARY,2028-12-31
C00170,A380,PRIMARY,2028-12-31
C00171,A380,PRIMARY,2028-12-31
C00172,A320,PRIMARY,2028-12-31
C00173,A321,PRIMARY,2028-12-31
C00174,A380,PRIMARY,2028-12-31
C00174,B787,SECONDARY,2028-12-31
C00175,B787,PRIMARY,2028-12-31
C00175,A321,SECONDARY,2028-12-31
C00176,B787,PRIMARY,2028-12-31
C00177,B787,PRIMARY,2028-12-31
C00178,A320,PRIMARY,2028-12-31
C00179,A380,PRIMARY,2028-12-31
C00180,B787,PRIMARY,2028-12-31
C00181,B777,PRIMARY,2028-12-31
C00181,A320,SECONDARY,2028-12-31
C00182,A321,PRIMARY,2028-12-31
C00183,A380,PRIMARY,2028-12-31
C00184,A321,PRIMARY,2028-12-31
C00184,A380,SECONDARY,2028-12-31
C00185,A321,PRIMARY,2028-12-31
C00186,B777,PRIMARY,2028-12-31
C00187,A380,PRIMARY,2028-12-31
C00188,B777,PRIMARY,2028-12-31
C00188,A321,SECONDARY,2028-12-31
C00189,A380,PRIMARY,2028-12-31
C00190,A380,PRIMARY,2028-12-31
C00191,A321,PRIMARY,2028-12-31
C00192,A380,PRIMARY,2028-12-31
C00193,B777,PRIMARY,2028-12-31
C00194,B787,PRIMARY,2028-12-31
C00194,A380,SECONDARY,2028-12-31
C00195,A320,PRIMARY,2028-12-31
C00196,A321,PRIMARY,2028-12-31
C00197,B777,PRIMARY,2028-12-31
C00198,B777,PRIMARY,2028-12-31
C00198,A350,SECONDARY,2028-12-31
C00199,A320,PRIMARY,2028-12-31
C00200,A350,PRIMARY,2028-12-31
C00201,A320,PRIMARY,2028-12-31
C00202,A380,PRIMARY,2028-12-31
C00203,B787,PRIMARY,2028-12-31
C00204,A380,PRIMARY,2028-12-31
C00205,A350,PRIMARY,2028-12-31
C00206,B787,PRIMARY,2028-12-31
C00207,A350,PRIMARY,2028-12-31
C00207,A320,SECONDARY,2028-12-31
C00208,A380,PRIMARY,2028-12-31
C00209,A321,PRIMARY,2028-12-31
C00210,A320,PRIMARY,2028-12-31
C00211,A321,PRIMARY,2028-12-31
C00212,A350,PRIMARY,2028-12-31
C00213,A320,PRIMARY,2028-12-31
C00214,A320,PRIMARY,2028-12-31
C00215,B777,PRIMARY,2028-12-31
C00216,A350,PRIMARY,2028-12-31
C00216,B777,SECONDARY,2028-12-31
C00217,B787,PRIMARY,2028-12-31
C00217,A380,SECONDARY,2028-12-31
C00218,A380,PRIMARY,2028-12-31
C00218,A320,SECONDARY,2028-12-31
C00219,A321,PRIMARY,2028-12-31
C00220,A320,PRIMARY,2028-12-31
C00221,B787,PRIMARY,2028-12-31
C00221,A320,SECONDARY,2028-12-31
C00222,A320,PRIMARY,2028-12-31
C00223,B777,PRIMARY,2028-12-31
C00223,A350,SECONDARY,2028-12-31
C00224,A320,PRIMARY,2028-12-31
C00225,A320,PRIMARY,2028-12-31
C00226,B787,PRIMARY,2028-12-31
C00226,A380,SECONDARY,2028-12-31
C00227,B787,PRIMARY,2028-12-31
C00228,B777,PRIMARY,2028-12-31
C00229,B787,PRIMARY,2028-12-31
C00229,B777,SECONDARY,2028-12-31
C00230,A380,PRIMARY,2028-12-31
C00231,B787,PRIMARY,2028-12-31
C00232,A350,PRIMARY,2028-12-31
C00233,A321,PRIMARY,2028-12-31
C00234,B777,PRIMARY,2028-12-31
C00235,A380,PRIMARY,2028-12-31
C00236,B787,PRIMARY,2028-12-31
C00236,A350,SECONDARY,2028-12-31
C00237,B787,PRIMARY,2028-12-31
C00238,A380,PRIMARY,2028-12-31
C00239,B787,PRIMARY,2028-12-31
C00239,A380,SECONDARY,2028-12-31
C00240,A320,PRIMARY,2028-12-31
C00240,B787,SECONDARY,2028-12-31
C00241,B777,PRIMARY,2028-12-31
C00242,A350,PRIMARY,2028-12-31
C00243,A380,PRIMARY,2028-12-31
C00244,A350,PRIMARY,2028-12-31
C00245,B777,PRIMARY,2028-12-31
C00246,A350,PRIMARY,2028-12-31
C00246,A320,SECONDARY,2028-12-31
C00247,A350,PRIMARY,2028-12-31
C00248,A350,PRIMARY,2028-12-31
C00249,A350,PRIMARY,2028-12-31
C00250,A350,PRIMARY,2028-12-31
C00251,A380,PRIMARY,2028-12-31
C00252,A380,PRIMARY,2028-12-31
C00253,B777,PRIMARY,2028-12-31
C00253,A380,SECONDARY,2028-12-31
C00254,A350,PRIMARY,2028-12-31
C00255,A350,PRIMARY,2028-12-31
C00256,B777,PRIMARY,2028-12-31
C00257,B787,PRIMARY,2028-12-31
C00258,B777,PRIMARY,2028-12-31
C00259,A320,PRIMARY,2028-12-31
C00260,A320,PRIMARY,2028-12-31
C00261,A321,PRIMARY,2028-12-31
C00262,A321,PRIMARY,2028-12-31
C00263,A320,PRIMARY,2028-12-31
C00264,B787,PRIMARY,2028-12-31
C00265,A350,PRIMARY,2028-12-31
C00266,A321,PRIMARY,2028-12-31
C00267,A350,PRIMARY,2028-12-31
C00268,A320,PRIMARY,2028-12-31
C00268,A321,SECONDARY,2028-12-31
C00269,A380,PRIMARY,2028-12-31
C00269,B777,SECONDARY,2028-12-31
C00270,A320,PRIMARY,2028-12-31
C00271,A380,PRIMARY,2028-12-31
C00272,B777,PRIMARY,2028-12-31
C00273,A320,PRIMARY,2028-12-31
C00274,B787,PRIMARY,2028-12-31
C00275,B777,PRIMARY,2028-12-31
C00276,A380,PRIMARY,2028-12-31
C00277,B777,PRIMARY,2028-12-31
C00278,A350,PRIMARY,2028-12-31
C00279,B787,PRIMARY,2028-12-31
C00280,A321,PRIMARY,2028-12-31
C00281,B777,PRIMARY,2028-12-31
C00281,A350,SECONDARY,2028-12-31
C00282,B777,PRIMARY,2028-12-31
C00283,A320,PRIMARY,2028-12-31
C00283,B787,SECONDARY,2028-12-31
C00284,A320,PRIMARY,2028-12-31
C00285,A380,PRIMARY,2028-12-31
C00286,A320,PRIMARY,2028-12-31
C00287,A350,PRIMARY,2028-12-31
C00288,A320,PRIMARY,2028-12-31
C00289,A380,PRIMARY,2028-12-31
C00289,A350,SECONDARY,2028-12-31
C00290,A350,PRIMARY,2028-12-31
C00291,B777,PRIMARY,2028-12-31
C00292,A321,PRIMARY,2028-12-31
C00293,A380,PRIMARY,2028-12-31
C00294,A320,PRIMARY,2028-12-31
C00295,B777,PRIMARY,2028-12-31
C00296,B777,PRIMARY,2028-12-31
C00297,B777,PRIMARY,2028-12-31
C00298,A321,PRIMARY,2028-12-31
C00298,A350,SECONDARY,2028-12-31
C00299,A321,PRIMARY,2028-12-31
C00300,A321,PRIMARY,2028-12-31
C00300,B777,SECONDARY,2028-12-31
C00301,B777,PRIMARY,2028-12-31
C00302,A380,PRIMARY,2028-12-31
C00302,B777,SECONDARY,2028-12-31
C00303,A350,PRIMARY,2028-12-31
C00304,A321,PRIMARY,2028-12-31
C00304,A350,SECONDARY,2028-12-31
C00305,B777,PRIMARY,2028-12-31
C00305,A320,SECONDARY,2028-12-31
C00306,A321,PRIMARY,2028-12-31
C00306,B787,SECONDARY,2028-12-31
C00307,B777,PRIMARY,2028-12-31
C00307,B787,SECONDARY,2028-12-31
C00308,B787,PRIMARY,2028-12-31
C00308,B777,SECONDARY,2028-12-31
C00309,B777,PRIMARY,2028-12-31
C00310,A350,PRIMARY,2028-12-31
C00310,B787,SECONDARY,2028-12-31
C00311,A380,PRIMARY,2028-12-31
C00312,A380,PRIMARY,2028-12-31
C00312,A320,SECONDARY,2028-12-31
C00313,A320,PRIMARY,2028-12-31
C00314,A380,PRIMARY,2028-12-31
C00315,A321,PRIMARY,2028-12-31
C00315,B787,SECONDARY,2028-12-31
C00316,A321,PRIMARY,2028-12-31
C00316,A350,SECONDARY,2028-12-31
C00317,B787,PRIMARY,2028-12-31
C00317,A380,SECONDARY,2028-12-31
C00318,B777,PRIMARY,2028-12-31
C00318,A321,SECONDARY,2028-12-31
C00319,B777,PRIMARY,2028-12-31
C00320,A320,PRIMARY,2028-12-31
C00321,A320,PRIMARY,2028-12-31
C00322,B777,PRIMARY,2028-12-31
C00323,B787,PRIMARY,2028-12-31
C00324,A380,PRIMARY,2028-12-31
C00324,A321,SECONDARY,2028-12-31
C00325,A320,PRIMARY,2028-12-31
C00326,A350,PRIMARY,2028-12-31
C00327,B777,PRIMARY,2028-12-31
C00328,B777,PRIMARY,2028-12-31
C00329,A380,PRIMARY,2028-12-31
C00330,A350,PRIMARY,2028-12-31
C00331,A320,PRIMARY,2028-12-31
C00331,B777,SECONDARY,2028-12-31
C00332,A320,PRIMARY,2028-12-31
C00333,A320,PRIMARY,2028-12-31
C00334,A320,PRIMARY,2028-12-31
C00335,A321,PRIMARY,2028-12-31
C00335,B777,SECONDARY,2028-12-31
C00336,B777,PRIMARY,2028-12-31
C00337,A350,PRIMARY,2028-12-31
C00338,A380,PRIMARY,2028-12-31
C00339,A380,PRIMARY,2028-12-31
C00340,A380,PRIMARY,2028-12-31
C00341,A320,PRIMARY,2028-12-31
C00342,A321,PRIMARY,2028-12-31
C00343,B787,PRIMARY,2028-12-31
C00344,A321,PRIMARY,2028-12-31
C00345,A320,PRIMARY,2028-12-31
C00346,A350,PRIMARY,2028-12-31
C00347,B787,PRIMARY,2028-12-31
C00347,A380,SECONDARY,2028-12-31
C00348,A350,PRIMARY,2028-12-31
C00349,A350,PRIMARY,2028-12-31
C00350,B787,PRIMARY,2028-12-31
C00350,A320,SECONDARY,2028-12-31
C00351,A321,PRIMARY,2028-12-31
C00352,A320,PRIMARY,2028-12-31
C00353,B787,PRIMARY,2028-12-31
C00354,B777,PRIMARY,2028-12-31
C00355,A380,PRIMARY,2028-12-31
C00356,B787,PRIMARY,2028-12-31
C00356,A380,SECONDARY,2028-12-31
C00357,A380,PRIMARY,2028-12-31
C00358,A320,PRIMARY,2028-12-31
C00359,B777,PRIMARY,2028-12-31
C00360,A380,PRIMARY,2028-12-31
C00361,A350,PRIMARY,2028-12-31
C00362,B787,PRIMARY,2028-12-31
C00363,A380,PRIMARY,2028-12-31
C00364,A321,PRIMARY,2028-12-31
C00365,A320,PRIMARY,2028-12-31
C00366,A321,PRIMARY,2028-12-31
C00367,B777,PRIMARY,2028-12-31
C00368,A321,PRIMARY,2028-12-31
C00368,B777,SECONDARY,2028-12-31
C00369,A380,PRIMARY,2028-12-31
C00369,A321,SECONDARY,2028-12-31
C00370,A321,PRIMARY,2028-12-31
C00370,A380,SECONDARY,2028-12-31
C00371,A350,PRIMARY,2028-12-31
C00372,A380,PRIMARY,2028-12-31
C00373,A321,PRIMARY,2028-12-31
C00374,A350,PRIMARY,2028-12-31
C00375,A321,PRIMARY,2028-12-31
C00376,A321,PRIMARY,2028-12-31
C00377,A380,PRIMARY,2028-12-31
C00378,A320,PRIMARY,2028-12-31
C00379,A321,PRIMARY,2028-12-31
C00379,A350,SECONDARY,2028-12-31
C00380,A380,PRIMARY,2028-12-31
C00380,B787,SECONDARY,2028-12-31
C00381,B777,PRIMARY,2028-12-31
C00382,A321,PRIMARY,2028-12-31
C00383,A321,PRIMARY,2028-12-31
C00384,B777,PRIMARY,2028-12-31
C00385,A380,PRIMARY,2028-12-31
C00386,A321,PRIMARY,2028-12-31
C00387,A380,PRIMARY,2028-12-31
C00388,A321,PRIMARY,2028-12-31
C00388,A350,SECONDARY,2028-12-31
C00389,B787,PRIMARY,2028-12-31
C00390,A321,PRIMARY,2028-12-31
C00390,B777,SECONDARY,2028-12-31
C00391,A380,PRIMARY,2028-12-31
C00391,B777,SECONDARY,2028-12-31
C00392,A380,PRIMARY,2028-12-31
C00393,B777,PRIMARY,2028-12-31
C00394,B777,PRIMARY,2028-12-31
C00395,A321,PRIMARY,2028-12-31
C00396,A320,PRIMARY,2028-12-31
C00397,A321,PRIMARY,2028-12-31
C00398,A380,PRIMARY,2028-12-31
C00399,A321,PRIMARY,2028-12-31
C00400,A320,PRIMARY,2028-12-31
C00401,B787,PRIMARY,2028-12-31
C00402,A321,PRIMARY,2028-12-31
C00402,A350,SECONDARY,2028-12-31
C00403,B787,PRIMARY,2028-12-31
C00404,B777,PRIMARY,2028-12-31
C00405,B777,PRIMARY,2028-12-31
C00405,A321,SECONDARY,2028-12-31
C00406,B787,PRIMARY,2028-12-31
C00407,A380,PRIMARY,2028-12-31
C00408,A380,PRIMARY,2028-12-31
C00409,B787,PRIMARY,2028-12-31
C00410,B777,PRIMARY,2028-12-31
C00411,B777,PRIMARY,2028-12-31
C00412,A380,PRIMARY,2028-12-31
C00413,A350,PRIMARY,2028-12-31
C00414,B777,PRIMARY,2028-12-31
C00414,A350,SECONDARY,2028-12-31
C00415,B777,PRIMARY,2028-12-31
C00416,A350,PRIMARY,2028-12-31
C00417,B787,PRIMARY,2028-12-31
C00418,A320,PRIMARY,2028-12-31
C00419,A350,PRIMARY,2028-12-31
C00420,B787,PRIMARY,2028-12-31
C00421,B787,PRIMARY,2028-12-31
C00422,A380,PRIMARY,2028-12-31
C00423,B787,PRIMARY,2028-12-31
C00424,A380,PRIMARY,2028-12-31
C00425,A350,PRIMARY,2028-12-31
C00426,A321,PRIMARY,2028-12-31
C00427,A321,PRIMARY,2028-12-31
C00427,A380,SECONDARY,2028-12-31
C00428,A321,PRIMARY,2028-12-31
C00429,A321,PRIMARY,2028-12-31
C00429,B777,SECONDARY,2028-12-31
C00430,A321,PRIMARY,2028-12-31
C00430,B777,SECONDARY,2028-12-31
C00431,A321,PRIMARY,2028-12-31
C00432,B787,PRIMARY,2028-12-31
C00432,B777,SECONDARY,2028-12-31
C00433,A380,PRIMARY,2028-12-31
C00434,B777,PRIMARY,2028-12-31
C00435,B787,PRIMARY,2028-12-31
C00436,A380,PRIMARY,2028-12-31
C00437,A321,PRIMARY,2028-12-31
C00438,A321,PRIMARY,2028-12-31
C00439,A321,PRIMARY,2028-12-31
C00440,B787,PRIMARY,2028-12-31
C00441,A350,PRIMARY,2028-12-31
C00442,A350,PRIMARY,2028-12-31
C00443,A320,PRIMARY,2028-12-31
C00444,B787,PRIMARY,2028-12-31
C00445,B777,PRIMARY,2028-12-31
C00446,A350,PRIMARY,2028-12-31
C00446,A320,SECONDARY,2028-12-31
C00447,A320,PRIMARY,2028-12-31
C00448,A320,PRIMARY,2028-12-31
C00449,B777,PRIMARY,2028-12-31
C00449,A350,SECONDARY,2028-12-31
C00450,B777,PRIMARY,2028-12-31
C00451,A320,PRIMARY,2028-12-31
C00451,B777,SECONDARY,2028-12-31
C00452,A380,PRIMARY,2028-12-31
C00453,A380,PRIMARY,2028-12-31
C00454,A350,PRIMARY,2028-12-31
C00455,A380,PRIMARY,2028-12-31
C00456,A321,PRIMARY,2028-12-31
C00457,B787,PRIMARY,2028-12-31
C00457,A320,SECONDARY,2028-12-31
C00458,A380,PRIMARY,2028-12-31
C00459,A350,PRIMARY,2028-12-31
C00459,B777,SECONDARY,2028-12-31
C00460,A320,PRIMARY,2028-12-31
C00461,B777,PRIMARY,2028-12-31
C00461,A380,SECONDARY,2028-12-31
C00462,A321,PRIMARY,2028-12-31
C00463,A321,PRIMARY,2028-12-31
C00463,B777,SECONDARY,2028-12-31
C00464,A320,PRIMARY,2028-12-31
C00465,A320,PRIMARY,2028-12-31
C00466,A320,PRIMARY,2028-12-31
C00467,A320,PRIMARY,2028-12-31
C00468,A321,PRIMARY,2028-12-31
C00469,A321,PRIMARY,2028-12-31
C00470,A320,PRIMARY,2028-12-31
C00471,B777,PRIMARY,2028-12-31
C00472,B787,PRIMARY,2028-12-31
C00473,B787,PRIMARY,2028-12-31
C00474,A320,PRIMARY,2028-12-31
C00474,B787,SECONDARY,2028-12-31
C00475,B777,PRIMARY,2028-12-31
C00475,A380,SECONDARY,2028-12-31
C00476,A320,PRIMARY,2028-12-31
C00477,B787,PRIMARY,2028-12-31
C00477,A321,SECONDARY,2028-12-31
C00478,A350,PRIMARY,2028-12-31
C00479,A320,PRIMARY,2028-12-31
C00480,A380,PRIMARY,2028-12-31
C00480,A320,SECONDARY,2028-12-31
C00481,A320,PRIMARY,2028-12-31
C00482,B787,PRIMARY,2028-12-31
C00483,A380,PRIMARY,2028-12-31
C00484,A380,PRIMARY,2028-12-31
C00485,A350,PRIMARY,2028-12-31
C00486,B777,PRIMARY,2028-12-31
C00487,A320,PRIMARY,2028-12-31
C00488,A320,PRIMARY,2028-12-31
C00489,A350,PRIMARY,2028-12-31
C00490,A320,PRIMARY,2028-12-31
C00491,A320,PRIMARY,2028-12-31
C00492,A350,PRIMARY,2028-12-31
C00493,A320,PRIMARY,2028-12-31
C00494,A350,PRIMARY,2028-12-31
C00495,B787,PRIMARY,2028-12-31
C00496,A380,PRIMARY,2028-12-31
C00497,A320,PRIMARY,2028-12-31
C00498,A320,PRIMARY,2028-12-31
C00498,A321,SECONDARY,2028-12-31
C00499,A350,PRIMARY,2028-12-31
C00500,B777,PRIMARY,2028-12-31
C00501,A380,PRIMARY,2028-12-31
C00501,A321,SECONDARY,2028-12-31
C00502,B777,PRIMARY,2028-12-31
C00503,A320,PRIMARY,2028-12-31
C00503,A380,SECONDARY,2028-12-31
C00504,A320,PRIMARY,2028-12-31
C00505,A380,PRIMARY,2028-12-31
C00506,A380,PRIMARY,2028-12-31
C00506,B777,SECONDARY,2028-12-31
C00507,A350,PRIMARY,2028-12-31
C00508,A350,PRIMARY,2028-12-31
C00509,A320,PRIMARY,2028-12-31
C00509,A321,SECONDARY,2028-12-31
C00510,B777,PRIMARY,2028-12-31
C00511,A380,PRIMARY,2028-12-31
C00512,B787,PRIMARY,2028-12-31
C00513,B777,PRIMARY,2028-12-31
C00514,A320,PRIMARY,2028-12-31
C00515,A320,PRIMARY,2028-12-31
C00515,A321,SECONDARY,2028-12-31
C00516,A350,PRIMARY,2028-12-31
C00517,B787,PRIMARY,2028-12-31
C00518,A320,PRIMARY,2028-12-31
C00518,A321,SECONDARY,2028-12-31
C00519,A380,PRIMARY,2028-12-31
C00520,A320,PRIMARY,2028-12-31
C00521,B777,PRIMARY,2028-12-31
C00522,A380,PRIMARY,2028-12-31
C00523,A321,PRIMARY,2028-12-31
C00524,B787,PRIMARY,2028-12-31
C00525,B787,PRIMARY,2028-12-31
C00526,A320,PRIMARY,2028-12-31
C00527,A320,PRIMARY,2028-12-31
C00527,A380,SECONDARY,2028-12-31
C00528,A320,PRIMARY,2028-12-31
C00529,B777,PRIMARY,2028-12-31
C00530,A380,PRIMARY,2028-12-31
C00531,A350,PRIMARY,2028-12-31
C00531,B787,SECONDARY,2028-12-31
C00532,A350,PRIMARY,2028-12-31
C00532,B777,SECONDARY,2028-12-31
C00533,A320,PRIMARY,2028-12-31
C00534,A350,PRIMARY,2028-12-31
C00534,A321,SECONDARY,2028-12-31
C00535,A350,PRIMARY,2028-12-31
C00536,A321,PRIMARY,2028-12-31
C00537,B777,PRIMARY,2028-12-31
C00537,B787,SECONDARY,2028-12-31
C00538,A380,PRIMARY,2028-12-31
